num_topics,alpha,beta,coherence
3,symmetric,auto,0.32659516011410167
3,symmetric,0.01,0.3265951601141016
3,symmetric,0.1,0.32659516011410167
3,asymmetric,auto,0.3256137847016121
3,asymmetric,0.01,0.33334733770009306
3,asymmetric,0.1,0.33334733770009306
3,0.01,auto,0.33213300565970555
3,0.01,0.01,0.3257897731584324
3,0.01,0.1,0.33213300565970555
3,0.5,auto,0.3320091782834697
3,0.5,0.01,0.3320091782834697
3,0.5,0.1,0.3320091782834697
4,symmetric,auto,0.3728687533887648
4,symmetric,0.01,0.3496935003883245
4,symmetric,0.1,0.35395422318259984
4,asymmetric,auto,0.33346757567948365
4,asymmetric,0.01,0.3180218976051986
4,asymmetric,0.1,0.3416266171815506
4,0.01,auto,0.3531332756012129
4,0.01,0.01,0.33795368223147293
4,0.01,0.1,0.34515772792103916
4,0.5,auto,0.34519721140476683
4,0.5,0.01,0.317856716546149
4,0.5,0.1,0.30193526410683186
5,symmetric,auto,0.3276116267242818
5,symmetric,0.01,0.3254703748676319
5,symmetric,0.1,0.3231794220568385
5,asymmetric,auto,0.34268795109672806
5,asymmetric,0.01,0.3308532680842708
5,asymmetric,0.1,0.3453891811021403
5,0.01,auto,0.3468014869349128
5,0.01,0.01,0.322793693938924
5,0.01,0.1,0.34277467174056436
5,0.5,auto,0.31282690679230624
5,0.5,0.01,0.31976729670657417
5,0.5,0.1,0.3108220412206923
6,symmetric,auto,0.378154923942295
6,symmetric,0.01,0.3578402375883624
6,symmetric,0.1,0.36891427077563604
6,asymmetric,auto,0.37012630110128125
6,asymmetric,0.01,0.4026843959278567
6,asymmetric,0.1,0.36759222308355805
6,0.01,auto,0.36560325505050567
6,0.01,0.01,0.3629727712994056
6,0.01,0.1,0.36560325505050567
6,0.5,auto,0.3587246730254507
6,0.5,0.01,0.3462530601039609
6,0.5,0.1,0.356125414044425
7,symmetric,auto,0.3358092790553764
7,symmetric,0.01,0.32256476871115514
7,symmetric,0.1,0.33231890193201347
7,asymmetric,auto,0.40783638682953705
7,asymmetric,0.01,0.3755721791013218
7,asymmetric,0.1,0.4053242112669969
7,0.01,auto,0.34029610239639624
7,0.01,0.01,0.33959946602145913
7,0.01,0.1,0.33831034775032964
7,0.5,auto,0.3237261836083034
7,0.5,0.01,0.32000704171530775
7,0.5,0.1,0.33071008442144467
8,symmetric,auto,0.3333331802915791
8,symmetric,0.01,0.3375796328399947
8,symmetric,0.1,0.33082613008278583
8,asymmetric,auto,0.37716685329296357
8,asymmetric,0.01,0.3794146421468717
8,asymmetric,0.1,0.35886647925200477
8,0.01,auto,0.34180004173361045
8,0.01,0.01,0.3399320553144979
8,0.01,0.1,0.3410350644664315
8,0.5,auto,0.3426580186171245
8,0.5,0.01,0.33127599117178747
8,0.5,0.1,0.34011982837299337
9,symmetric,auto,0.34207265641773144
9,symmetric,0.01,0.3515830335830021
9,symmetric,0.1,0.34207265641773144
9,asymmetric,auto,0.3842332551420959
9,asymmetric,0.01,0.3767549766856726
9,asymmetric,0.1,0.3754046787903064
9,0.01,auto,0.3490366011250674
9,0.01,0.01,0.3311997202203482
9,0.01,0.1,0.3490366011250674
9,0.5,auto,0.3481913447490682
9,0.5,0.01,0.36150193462977365
9,0.5,0.1,0.34396749715178965
