tweet_count,user_id,username,text,created_at
1,1158355819512991747,Narasi Newsroom,"Korban meninggal dunia akibat banjir dan longsor di Aceh, Sumatera Utara dan Sumatera Barat bertambah. Dari data yang diakses di laman resmi Badan Nasional Penanggulangan Bencana (BNPB) pada Sabtu (20/12/2025) pukul 08.00 WIB, korban meninggal kini menjadi 1071 jiwa, dan 185 https://t.co/8zvVpVXd4x",Sat Dec 20 02:20:53 +0000 2025
2,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"26 Nov 2025 — Aceh dilanda banjir dahsyat. Gelondongan kayu 🪵🪵🪵 hasil illegal logging terbawa arus seperti misil, menghancurkan apa saja di jalurnya. 

🌊 Banjir Aceh–Sumatera bukan sekadar bencana alam, tapi bencana ekologis akibat pembabatan hutan 🌳🌳🌳 #BanjirAceh https://t.co/jegPLjwGG6",Fri Dec 19 19:55:57 +0000 2025
3,1158355819512991747,Narasi Newsroom,"Badan Nasional Penanggulangan Bencana (BNPB) merilis data terbaru korban bencana banjir dan longsor di Aceh, Sumatera Utara, dan Sumatera Barat. Jumlah korban meninggal mencapai 1.016 orang, Senin (15/12/2025), pukul 10.00 WIB.

Kepala Pusat Data, Informasi, dan Komunikasi https://t.co/rORUETBEiQ",Mon Dec 15 03:19:01 +0000 2025
4,9688522,Aceh 🇮🇩🇹🇷🇵🇸,Wartawan Asing dan @CNNIndonesia Benar tentang Aceh. Terbukti ribuan 👨‍🍼🍼👼 bayi di tempat  pengungsian dan di daerah terisolasi tidak dapat makanan dan nutrisi yang layak paska Bencana Banjir Aceh Sumatera🏳️‍🏳️‍🏳️‍ https://t.co/xv1y32w6xB,Fri Dec 19 05:48:52 +0000 2025
5,1038483432391634944,Romitsu Top,"Kalau tak ada yg dihukum penjara pengusaha, pejabat dan siapapun yg menyebabkan terjadinya banjir bandang di Sumatera yg mengakibatkan 990 orang meninggal dan puluhan ribu jiwa sengsara akibat bencana tsb maka layak kalau kalian pemerintah itu dikatakan binatang dan bangsat😡 https://t.co/ajA9CfTNOD",Fri Dec 12 23:55:21 +0000 2025
6,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"21 hari pascabencana Banjir Aceh–Sumatera. Ratusan warga mulai jatuh sakit akibat sanitasi buruk dan tidur di alam terbuka di berbagai wilayah bencana. Bantuan medis dan makanan masih lambat dan sporadis, masih belum terkoordinasi dalam satu komando yang jelas.

Banjir Aceh 2025 https://t.co/lXavbZlM4Q",Tue Dec 16 18:20:30 +0000 2025
7,1158355819512991747,Narasi Newsroom,"Jumlah korban meninggal dunia akibat bencana banjir dan longsor di Aceh, Sumatera Barat, Sumatera Utara, masih terus bertambah. Kini total korban meninggal menjadi 1.068 jiwa, berdasarkan data terbaru BNPB per Jumat (19/12/2025), pukul 09.30 WIB.

""Jumlah korban meninggal dunia https://t.co/jDcxm1XhbZ",Fri Dec 19 03:29:41 +0000 2025
8,1447335058814095363,T𝕏TDARIBUKU,"- SBY ambil sikap tsunami Aceh: dari Jayapura lgsg ke Aceh berhari-hari untuk problem solving

- Prabowo ambil sikap banjir bandang Sumatera Aceh dgn datang sehari, klaim bisa ditangani, terus lanjut ke Russia 
https://t.co/fZNRcHgTNH",Sun Dec 14 14:00:33 +0000 2025
9,1419959939808722950,CaHRuweT,Semua mirip dengan banjir yang terjadi di Sumatera 😭😭 https://t.co/tV7qBuwscY,Sat Dec 20 13:35:15 +0000 2025
10,104695582,Kementerian Pertanian RI,"Kementan kembali melepas 153 truk bantuan Kementan Peduli bagi masyarakat terdampak banjir di Aceh, Sumatera Utara &amp; Sumatera Barat. Bantuan senilai hampir Rp10 miliar ini berisi pangan siap konsumsi hingga kebutuhan sandang, hasil gotong royong jajaran Kementan dan para mitra. https://t.co/DqdxsCY8E9",Fri Dec 12 12:32:16 +0000 2025
11,224431376,5tePh3N,Info bukan anak-anak Gaza tapi anak-anak penyintas bencana banjir bandang sumatera 🥲 https://t.co/WbcwGZ6YjF,Wed Dec 17 11:10:30 +0000 2025
12,46523425,Shinta Effendi,"Sebelum terjadi bencana banjir bandang &amp; longsor sumatera, di aceh timur terlihat harimau turun &amp; berkeliaran di pemukiman warga desa sejudo. 
Apa di wilayah lain ada peristiwa sejenis, terkait perilaku hewan yg tidak biasa? 
https://t.co/0eGWOFSfhP https://t.co/hHre4V7cAe",Mon Dec 15 10:19:09 +0000 2025
13,1451692249918570497,PeJaBaT,"Ini Perusahaan yang Menyebabkan Terjadinya Bencana Banjir Bandang di Sumatera... 
Sita Asetnya, 
Miskinkan Pelakunya, 
Ganti Rugi Semua yang diakibatkannya.. https://t.co/rGIYNMY5zR",Sat Dec 20 13:35:37 +0000 2025
14,18129942,tempo.co,"Biang Kerok Banjir Sumatera

Banjir dan tanah longsor menghantam tiga provinsi di Pulau Sumatera. Banjir dan longsor itu turut menghanyutkan gelondongan kayu ke hilir, membuktikan biang kerok banjir: penggundulan hutan. Satu nama dituding bertanggung jawab atas penggundulan hutan https://t.co/zwG8MHtIJx",Sun Dec 21 12:00:00 +0000 2025
15,1344460749964414976,🌸 CUT PUTROE 🌸,"Dan sekarang banjir Bandang yg menerjang Sumatra thn 2025,mereka tdk perduli yg penting uang uang dan uang buat kasi  makan anak bini  ,sekolah di LN beli tas barand,makan di rasto mahal dg mengorbankan rakyat yg tdk berdosa ,seanjing anjingnya anjing lebih ajing persuak hutan. https://t.co/D4dDpOkIjT",Sat Dec 06 02:14:42 +0000 2025
16,719725925215170561,Marlina ▪︎ mawar 🌹,"""Lebih dari sekadar emas""

Justin Barki, yang memilih menyumbangkan seluruh bonus SEA Games untuk membantu korban banjir di Sumatera Utara https://t.co/A3QCCOwz5m",Tue Dec 16 02:39:12 +0000 2025
17,1720304366467571712,Goo913,"Reporter CNN yg laporkan bencana sumatera, mendapatkan kebaikan dari korban banjir 😭 https://t.co/SFZG7hwcBL",Fri Dec 19 05:44:36 +0000 2025
18,1905767701189955584,Rima Purwasih,Bang Ferry Irwandi : di lapangan semua bersatu bahu membahu menolong korban banjir Sumatera. https://t.co/00UM5xyVp3,Sun Dec 21 03:10:08 +0000 2025
19,23343960,Kompas.com,"Sekretaris Kabinet (Seskab) Letkol Teddy Indra Wijaya menanggapi aspirasi agar banjir dan longsor di tiga provinsi Sumatera diberikan status darurat bencana nasional. 

""Masih ada pihak-pihak yang terus saja membahas status bencana nasional. Sejak hari pertama tanggal 26, https://t.co/gJVaR8qWNf",Fri Dec 19 10:09:39 +0000 2025
20,1337987604596150272,Humanies Project,"Respons Humanies Project Dalam Bencana Longsor dan Banjir Sumatera

Humanies Project telah meneruskan bantuan dari teman-teman secara langsung melalui berbagai macam bantuan dan kegiatan. 

Terima kasih kepada teman-teman yang masih percaya untuk menitipkan donasi kepada kami. https://t.co/7ecdNFSTJJ",Tue Dec 16 15:19:08 +0000 2025
21,1501741769306021890,ThatSun510,"Banyak yg marah2 karena bandingin resepsi crazy rich dgn charity.

Oke another ketimpangan:
1.Ada Bencana sumatera, DUGEM tetap rame (cek aja tiktok), DWP BALI TETAP RAME ditengah banjir &gt; RATUSAN M u/ party &amp; gk semua Crazy Rich
2.Sementara charity target 100M cuma terkumpul 17M https://t.co/volsOXcLD9",Wed Dec 17 23:19:16 +0000 2025
22,1637572714205421595,liaa,"Banjir bandang di Aceh &amp; Sumatera adalah cara Allah SWT menunjukkan  kepada dunia kalau hutan hutan kita telah di jarah dan di salah gunakan demi kepentingan  pribadi segelintir orang . 
Selama ini mereka membantah telah menggunduli hutan, tapi kini semuanya terbuka. Mau ngeles https://t.co/yVIEczgbOU",Sun Dec 14 04:21:37 +0000 2025
23,1315655549367640071,ai,"Bukan jumlah yg banyak, tapi semoga bisa bantu hewan2 yg kena dampak banjir di Sumatera ❤️

#엔하이픈선우챌린지 #SUNOO #ENHYPEN_SUNOO https://t.co/jEtcV95a3g",Sun Dec 21 03:37:31 +0000 2025
24,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"24 hari 🗓 paska bencana 🌊 Banjir Longsor Aceh - Sumatera masih ada 80 desa yang terisolir di Aceh Tengah. Ini belum termasuk jumlah desa di Bener Meriah, Gayo Lues dan Aceh Tenggara
https://t.co/hLRGBLld00",Sat Dec 20 12:49:52 +0000 2025
25,23772644,BBC News Indonesia,"Banjir bandang melanda Sumatra Utara, Selasa (25/11). Sebanyak tujuh kabupaten/kota terdampak, menurut BPBD setempat.

Hingga Selasa (25/11) siang, sebanyak empat orang dilaporkan meninggal dunia. https://t.co/TxhtWvHgQG",Tue Nov 25 10:30:00 +0000 2025
26,1277749122296983552,NO DM - KIRIM FESS CEK HIGHLIGHTS,gambar peta rilisan BNPB daerah terdampak bencana banjir longsor sumatera 2025. yujiem! https://t.co/7sZUfHR3a0,Tue Dec 16 08:25:12 +0000 2025
27,1282751327588585473,Never,"Aceh Tamiang 

Gambaran medan dan perjuangan para relawan dalam menyalurkan bantuan dan pemulihan wilayah terdampak banjir Sumatera

*Aceh- Sumut semoga segera pulih https://t.co/aiKOXjo3oW",Mon Dec 22 02:16:57 +0000 2025
28,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"""Bukan saya berkata Bohong; Ada Katak Memikul Kerbau "" - Korban Bencana di Aceh Tamiang tuding ada pejabat pejabat yang berbohong dan kecewa berat dengan pemerintah hampir tiga  minggu paska bencana Banjir Aceh - Sumatera belum ada bantuan yang datang. https://t.co/ryxipux3C7",Sun Dec 14 14:23:01 +0000 2025
29,1434310524506832898,DF,"Banjir Sumatera, Bencana atau Musibah? 
~ Ustadz Das'ad Latif

Do'akan untuk Saudara-saudari kita di Sumatera 🤲 https://t.co/hZzY9BBOzy",Thu Dec 18 04:23:59 +0000 2025
30,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"PM Malaysia 🇲🇾 turut prihatin terhadap kondisi Aceh paska Bencana Banjir Sumatera. Pesan PM Malaysia ke Mualem: ""Kami siap Bantu"". 

Lebih dari 12 Negara dan termasuk banyak organisasi internasional siap bantu Aceh. Mereka menunggu Jakarta memberikan lampu hijau. 

🌀 Banjir Aceh https://t.co/3vH4qOWwF6",Mon Dec 15 08:43:19 +0000 2025
31,9688522,Aceh 🇮🇩🇹🇷🇵🇸,"Menolak bantuan luar negeri bukanlah tanda kedaulatan,
melainkan memindahkan beban krisis kepada rakyat sendiri.

Pada akhir November 2025, banjir bandang dan longsor besar melanda Aceh, Sumatera Utara, dan Sumatera Barat, menewaskan ratusan orang, merusak ribuan rumah, https://t.co/gqc7Ng3MbG",Wed Dec 17 04:05:30 +0000 2025
